Benchmark	TT	IPC	MPKI	TLB	BW
600.perlbench_s	250.1376	1.8985	0.0126	0.2805	39.25
600.perlbench_s	180.8754	1.5492	0.0983	0.2199	88.98
600.perlbench_s	155.8813	1.6684	0.5922	0.5393	235.52
602.gcc_s	402.166	1.1882	11.0803	1.4746	2703.03
602.gcc_s	182.0229	1.1352	0.5939	1.8546	223.33
602.gcc_s	171.3677	1.1697	0.7893	1.8471	288.19
603.bwaves_s	1408.247	0.8553	2.67	0.0866	8540.69
603.bwaves_s	1399.4506	0.8882	2.5135	0.0799	8088.03
605.mcf_s	1045.9709	0.6392	15.9323	11.0101	2179.3
607.cactuBSSN_s	794.4153	0.4799	5.45	12.7984	7845.52
619.lbm_s	1391.0048	0.1042	25.2749	0.8031	15577.67
620.omnetpp_s	632.5717	0.6679	7.6155	8.0008	1179.47
621.wrf_s	1425.6028	0.6137	0.8214	0.189	3874.71
623.xalancbmk_s	571.402	0.8807	0.6113	10.0048	204.68
625.x264_s	76.8868	2.6268	0.2667	0.0355	345.91
625.x264_s	278.0524	2.746	0.1104	0.0829	118.44
625.x264_s	283.75	2.7434	0.0978	0.0753	119.66
628.pop2_s	1837.0487	1.5087	1.5655	0.1337	3685.31
631.deepsjeng_s	579.1807	1.501	1.0404	0.2174	445.38
638.imagick_s	1649.0669	1.2927	0.0819	0.1013	612.82
641.leela_s	702.2522	1.1949	0.0021	0.0542	32.68
644.nab_s	791.4798	0.8075	0.0472	0.0413	922.71
648.exchange2_s	866.1795	1.9517	0.0002	0.0678	32.51
649.fotonik3d_s	1022.9178	0.2138	15.2425	0.988	16521.07
654.roms_s	2483.7832	0.313	10.8173	2.3574	15309.58
657.xz_s	372.2493	0.8002	2.4508	2.6748	3547.17
657.xz_s	329.8812	0.4184	9.5861	8.0505	8631.14
