Benchmark	Conf1	Conf2	Conf3	Conf4	Conf5	Conf6	Conf7
500.perlbench_r	249.821271545	379.663	456.223	345.112	409.578	436.497	344.864
508.namd_r	458.968910699	568.358	583.321	549.712	570.058	579.474	553.567
541.leela_r	694.068736421	901.656	963.591	853.148	937.638	956.604	851.687
544.nab_r	697.879872675	845.131	859.728	838.128	850.047	854.496	837.886
520.omnetpp_r	621.370630235	1089.712	1070.226	3248.837	1333.606	1307.081	2935.951
505.mcf_r	506.001716967	753.379	742.945	2123.764	909.906	891.874	1942.376
519.lbm_r	498.890416903	815.172	792.329	2458.0	1027.845	993.577	2223.599
549.fotonik3d_r	642.322223292	853.825	844.994	2906.76	1065.444	1052.642	2617.808
Benchmark	Conf1	Conf2	Conf3	Conf4	Conf5	Conf6	Conf7
500.perlbench_r	1.0	1.52	1.826	1.381	1.639	1.747	1.38
508.namd_r	1.0	1.238	1.271	1.198	1.242	1.263	1.206
541.leela_r	1.0	1.299	1.388	1.229	1.351	1.378	1.227
544.nab_r	1.0	1.211	1.232	1.201	1.218	1.224	1.201
520.omnetpp_r	1.0	1.754	1.722	5.229	2.146	2.104	4.725
505.mcf_r	1.0	1.489	1.468	4.197	1.798	1.763	3.839
519.lbm_r	1.0	1.634	1.588	4.927	2.06	1.992	4.457
549.fotonik3d_r	1.0	1.329	1.316	4.525	1.659	1.639	4.076
Overall Slowdown	1.0	1.423	1.463	2.425	1.606	1.61	2.309
