Benchmark	Conf1	Conf2
600.perlbench_s	6450.663	6788.48
641.leela_s	9362.522	9680.426
644.nab_s	5238.654	5366.508
648.exchange2_s	6485.286	6504.525
619.lbm_s	11708.45	13482.803
649.fotonik3d_s	9041.738	12515.651
654.roms_s	14025.243	15698.021
603.bwaves_s	10586.918	11115.792
Benchmark	Conf1	Conf2
600.perlbench_s	1	1.0523693456005996
641.leela_s	1	1.0339549535904962
644.nab_s	1	1.0244058874665132
648.exchange2_s	1	1.0029665615363763
619.lbm_s	1	1.1515446536475793
649.fotonik3d_s	1	1.3842085448616186
654.roms_s	1	1.119269092164749
603.bwaves_s	1	1.0499554261211808
Overall Slowdown	1.0	1.0967988873962757
