Benchmark	Conf1	Conf2	Conf3
600.perlbench_s	2885.382	2920.091	3018.308
641.leela_s	4590.219	4912.008	4699.894
644.nab_s	3770.681	3616.66	3784.083
648.exchange2_s	4868.112	5210.231	4891.353
619.lbm_s	3891.205	5362.276	3698.298
649.fotonik3d_s	3729.21	2883.945	3529.367
654.roms_s	5430.433	5188.114	5365.234
603.bwaves_s	5093.133	5207.031	5885.455
Benchmark	Conf1	Conf2	Conf3
600.perlbench_s	1	1.0120292564381423	1.0460687700969924
641.leela_s	1	1.0701031911549317	1.0238931955098438
644.nab_s	1	0.9591530018052441	1.003554265131418
648.exchange2_s	1	1.070277553186944	1.0047741300939665
619.lbm_s	1	1.3780502440760638	0.9504248683890979
649.fotonik3d_s	1	0.773339393598108	0.946411438347532
654.roms_s	1	0.9553775914369995	0.9879937750820239
603.bwaves_s	1	1.0223630523687484	1.1555667209161826
Overall Slowdown	1.0	1.018420897092744	1.0130278864254667
