Benchmark	Conf1	Conf2	Conf3
600.perlbench_s	17.730750306	82.444	82.816
625.x264_s	56.928292831	225.613	222.18200000000002
644.nab_s	27.110448835	188.63	189.055
648.exchange2_s	65.330165253	239.663	230.899
619.lbm_s	210.442731125	307.829	305.826
649.fotonik3d_s	32.377858836	189.946	187.67
654.roms_s	54.071452779	334.527	332.514
603.bwaves_s	25.387398419	156.04399999999998	154.686
Benchmark	Conf1	Conf2	Conf3
600.perlbench_s	1	4.649775027969422	4.670755527586188
625.x264_s	1	3.9631084787623148	3.9028396769174147
644.nab_s	1	6.9578339019041175	6.973510514364009
648.exchange2_s	1	3.668489113288972	3.5343397511059713
619.lbm_s	1	1.4627685088213094	1.4532504799053558
649.fotonik3d_s	1	5.866539877207833	5.796244926218999
654.roms_s	1	6.186758128494781	6.149529611476246
603.bwaves_s	1	6.146514007643107	6.093022902426763
Overall Slowdown	1.0	4.448973863125323	4.405154951394112
